Movie Name,Language,IMDb Rating,Year of Release,Maturity Rating,hours,minutes,duration
Dangerous Ishhq,Hindi,3.9,2012.0,13+,2,8,2-3 hrs
Saranga,Hindi,7.0,,NR,2,10,2-3 hrs
Malibu Shark Attack,Hindi,3.2,2009.0,18+,1,26,1-2 hrs
Chaudhvin Ka Chand,Hindi,7.2,,All,2,41,2-3 hrs
Thoda Tuza Thoda Maza,Marathi,,2013.0,All,1,46,1-2 hrs
Tomake Selam,Bengali,,2005.0,13+,0,0,<30 mins
C/O Saira Banu,Malayalam,6.5,2017.0,NR,2,34,2-3 hrs
Paippin Chuvattile Pranayam,Malayalam,5.5,2017.0,NR,2,12,2-3 hrs
Kedara,Bengali,7.0,2020.0,13+,1,51,1-2 hrs
Mallammana Pavada,Kannada,8.5,1969.0,NR,2,10,2-3 hrs
Enthavaraku Ee Prema,Telugu,,2017.0,13+,2,1,2-3 hrs
Hanste Khelte,Hindi,5.9,1984.0,NR,1,48,1-2 hrs
Yaar Annmulle,Punjabi,7.4,2011.0,13+,2,23,2-3 hrs
Raja Mahal,Telugu,5.2,1982.0,NR,2,16,2-3 hrs
The Super Simple Show - Counting & Numbers,English,,2019.0,All,0,44,30-60 mins
Aghatan Ajo Ghate,Bengali,,2017.0,13+,2,9,2-3 hrs
Underworld Evolution,Marathi,6.7,2006.0,18+,1,46,1-2 hrs
Bhava,Kannada,,2012.0,13+,1,49,1-2 hrs
Guptodhoner Sandhane,Bengali,6.8,2019.0,13+,2,10,2-3 hrs
Gondya Martay Tangda,Marathi,,2008.0,All,2,18,2-3 hrs
Smile Pinki,English,8.0,2019.0,13+,0,40,30-60 mins
To Let,Tamil,8.0,2019.0,All,1,35,1-2 hrs
London Boulevard,English,6.2,2010.0,18+,1,37,1-2 hrs
Bhay,Marathi,4.3,2018.0,13+,2,4,2-3 hrs
Mullum Malarum,Tamil,8.3,1978.0,All,2,15,2-3 hrs
Pralaya Rudrudu,Telugu,8.5,1982.0,NR,2,23,2-3 hrs
Bhoot Chaturdashi,Bengali,3.4,2019.0,13+,1,38,1-2 hrs
Aaha Brahmachari,Kannada,,1993.0,NR,1,46,1-2 hrs
Aa Okkati Adakku,Telugu,7.8,1992.0,All,2,19,2-3 hrs
Shuyopoka,Bengali,,2018.0,13+,0,23,<30 mins
Blitz,English,6.2,2011.0,18+,1,33,1-2 hrs
Crank: High Voltage aka Crank 2,Tamil,6.2,2009.0,18+,1,31,1-2 hrs
Jimmy Gallu,Kannada,6.4,1982.0,NR,2,7,2-3 hrs
Maga Rayudu,Telugu,6.4,1994.0,NR,2,26,2-3 hrs
Lipstick Under My Burkha,Hindi,6.8,2017.0,18+,1,59,1-2 hrs
Gatham,Telugu,6.1,2020.0,18+,1,41,1-2 hrs
Eyy,Telugu,,2013.0,NR,1,54,1-2 hrs
Last Christians,English,,2020.0,13+,0,53,30-60 mins
Hulchul,Hindi,,1995.0,All,2,27,2-3 hrs
Zed Plus,Hindi,6.4,2014.0,13+,2,12,2-3 hrs
Fugitive Pieces,English,7.0,2008.0,16+,1,45,1-2 hrs
Collector Garu,Telugu,5.1,1997.0,NR,2,21,2-3 hrs
Monagadostunnadu Jagratha,Telugu,,1971.0,NR,2,22,2-3 hrs
Jatt Airways,Punjabi,4.4,2013.0,All,2,15,2-3 hrs
Aparajito,Bengali,8.4,,NR,1,33,1-2 hrs
Pornomochi,Bengali,6.5,2018.0,NR,1,55,1-2 hrs
Gully Boy,Hindi,8.0,2019.0,13+,2,34,2-3 hrs
Vampir,English,,1971.0,NR,1,6,1-2 hrs
Wildlands,English,7.4,2020.0,13+,1,39,1-2 hrs
Raw Deal,English,5.6,,16+,1,18,1-2 hrs
Fool N Final,Hindi,3.4,2007.0,All,2,18,2-3 hrs
Konchem Ishtam Konchem Kashtam,Telugu,7.0,2009.0,All,2,38,2-3 hrs
The Valdes Peninsula,English,,2020.0,13+,0,25,<30 mins
Jack Ryan: Shadow Recruit,Tamil,6.2,2014.0,13+,1,45,1-2 hrs
The Whistleblower,Tamil,7.1,2011.0,18+,1,47,1-2 hrs
Shhh,Kannada,6.4,1993.0,NR,2,10,2-3 hrs
Siraj,Bengali,,1999.0,NR,2,23,2-3 hrs
Bindaas,Bengali,5.0,2014.0,13+,2,32,2-3 hrs
Last of the Big Tuskers,English,,2020.0,13+,0,52,30-60 mins
Chithirai Thingal,Tamil,,2014.0,NR,1,57,1-2 hrs
Little Pink House,English,6.5,2018.0,16+,1,39,1-2 hrs
India vs England,Kannada,5.9,2020.0,13+,2,14,2-3 hrs
Eai Korechho Bhalo,Bengali,,1970.0,NR,1,55,1-2 hrs
Sarkar,Hindi,7.6,2005.0,13+,1,59,1-2 hrs
Colour Balloon,Malayalam,5.5,2014.0,All,2,4,2-3 hrs
Thalsamayam Oru Penkutty,Malayalam,3.8,2012.0,All,2,42,2-3 hrs
Manikjore,Bengali,,1972.0,NR,1,33,1-2 hrs
Vietnam Colony,Malayalam,7.8,1992.0,NR,2,27,2-3 hrs
Game,Hindi,5.2,2011.0,13+,2,14,2-3 hrs
Anuraga Kottaram,Malayalam,5.7,1998.0,NR,2,25,2-3 hrs
